X1,season,player,Pos,possessions,Age,height,weight,G,DRB,BLK,STL,DRAYMOND,PTS,FT.,PPG,FTP,draft_round,draft_number,draft_year,years_in_nba
63,2016,Avery Bradley,SG,5346.738,25,188,81,76,172,19,117,-0.1717675,15.1973684210526,0.78,15.1973684210526,0.78,1,19,2010,6
64,2017,Avery Bradley,SG,5034.262,26,188,81,55,269,11,68,-0.7749345,16.2545454545455,0.731,16.2545454545455,0.731,1,19,2010,7
65,2014,Ben McLemore,SG,4409.083,20,196,88,82,182,18,45,-1.838292,8.78048780487805,0.804,8.78048780487805,0.804,1,7,2013,1
66,2015,Ben McLemore,SG,5422.881,21,196,88,82,210,19,77,0.3247414,12.1463414634146,0.813,12.1463414634146,0.813,1,7,2013,2
67,2016,Ben McLemore,SG,3127.402,22,196,88,68,114,10,52,-0.7067087,7.80882352941176,0.718,7.80882352941176,0.718,1,7,2013,3
68,2017,Ben McLemore,SG,2387.035,23,196,88,61,111,6,29,-1.045275,8.11475409836066,0.753,8.11475409836066,0.753,1,7,2013,4
69,2014,Bismack Biyombo,C,2193.703,21,206,115,77,261,86,7,1.770315,2.88311688311688,0.517,2.88311688311688,0.517,1,7,2011,3
70,2015,Bismack Biyombo,C,2442.236,22,206,115,64,248,99,18,1.04355,4.75,0.583,4.75,0.583,1,7,2011,4
71,2016,Bismack Biyombo,C,4554.06,23,206,115,82,473,133,19,1.440235,5.53658536585366,0.628,5.53658536585366,0.628,1,7,2011,5
72,2017,Bismack Biyombo,C,3612.148,24,206,115,81,410,91,25,-0.4636807,5.96296296296296,0.534,5.96296296296296,0.534,1,7,2011,6
73,2014,Blake Griffin,PF,6767.099,24,208,113,80,565,51,92,0.2133805,24.125,0.715,24.125,0.715,1,1,2009,5
74,2015,Blake Griffin,PF,5882.581,25,208,113,67,382,35,63,0.3489613,21.9253731343284,0.728,21.9253731343284,0.728,1,1,2009,6
75,2016,Blake Griffin,PF,2658.044,26,208,113,35,243,17,28,-0.4353958,21.4,0.727,21.4,0.727,1,1,2009,7
76,2017,Blake Griffin,PF,4409.112,27,208,113,61,385,23,58,0.4784661,21.5737704918033,0.76,21.5737704918033,0.76,1,1,2009,8
77,2014,Boris Diaw,PF,5235.049,31,203,113,79,252,32,44,0.0818633,9.07594936708861,0.739,9.07594936708861,0.739,1,21,2003,11
